panel,spike_id,time_s,x_px_in_panel,y_px_in_panel,x_px_abs,y_px_abs,y_norm_in_raster,sigma_px,detection_score
no_prediction_reward_occurs,no_prediction_reward_occurs_0114,-0.9330543933054394,8.0,52.0,400.0,253.0,0.049019607843137254,3.0,0.8814814814814815
no_prediction_reward_occurs,no_prediction_reward_occurs_0020,-0.9330543933054394,8.0,106.0,400.0,307.0,0.5784313725490197,2.111111111111111,0.8366013071895425
no_prediction_reward_occurs,no_prediction_reward_occurs_0147,-0.9246861924686193,9.0,138.0,401.0,339.0,0.8921568627450981,3.0,0.8675381263616558
no_prediction_reward_occurs,no_prediction_reward_occurs_0149,-0.8828451882845189,14.0,130.0,406.0,331.0,0.8137254901960784,1.6666666666666665,0.8169934640522877
no_prediction_reward_occurs,no_prediction_reward_occurs_0054,-0.8577405857740585,17.0,96.0,409.0,297.0,0.4803921568627451,1.8888888888888888,0.8923747276688453
no_prediction_reward_occurs,no_prediction_reward_occurs_0124,-0.8410041841004184,19.0,145.0,411.0,346.0,0.9607843137254902,1.8888888888888888,0.7725490196078432
no_prediction_reward_occurs,no_prediction_reward_occurs_0009,-0.799163179916318,24.0,110.0,416.0,311.0,0.6176470588235294,2.111111111111111,0.8352941176470589
no_prediction_reward_occurs,no_prediction_reward_occurs_0083,-0.7907949790794979,25.0,56.0,417.0,257.0,0.08823529411764706,1.8888888888888888,0.893681917211329
no_prediction_reward_occurs,no_prediction_reward_occurs_0098,-0.7907949790794979,25.0,80.0,417.0,281.0,0.3235294117647059,1.6666666666666665,0.8522875816993465
no_prediction_reward_occurs,no_prediction_reward_occurs_0077,-0.7489539748953975,30.0,62.0,422.0,263.0,0.14705882352941177,1.4444444444444444,0.8949891067538126
no_prediction_reward_occurs,no_prediction_reward_occurs_0101,-0.7322175732217573,32.0,76.0,424.0,277.0,0.28431372549019607,1.8888888888888888,0.8291938997821351
no_prediction_reward_occurs,no_prediction_reward_occurs_0091,-0.7322175732217573,32.0,86.0,424.0,287.0,0.38235294117647056,2.111111111111111,0.8091503267973856
no_prediction_reward_occurs,no_prediction_reward_occurs_0087,-0.7322175732217573,32.0,135.0,424.0,336.0,0.8627450980392157,1.8888888888888888,0.807843137254902
no_prediction_reward_occurs,no_prediction_reward_occurs_0140,-0.7238493723849373,33.0,51.0,425.0,252.0,0.0392156862745098,1.8888888888888888,0.9058823529411764
no_prediction_reward_occurs,no_prediction_reward_occurs_0059,-0.698744769874477,36.0,96.0,428.0,297.0,0.4803921568627451,1.8888888888888888,0.8444444444444444
no_prediction_reward_occurs,no_prediction_reward_occurs_0123,-0.6903765690376569,37.0,66.0,429.0,267.0,0.18627450980392157,2.111111111111111,0.7620915032679739
no_prediction_reward_occurs,no_prediction_reward_occurs_0182,-0.6820083682008369,38.0,72.0,430.0,273.0,0.24509803921568626,1.2222222222222223,0.8339869281045752
no_prediction_reward_occurs,no_prediction_reward_occurs_0070,-0.6736401673640167,39.0,145.0,431.0,346.0,0.9607843137254902,1.8888888888888888,0.8082788671023965
no_prediction_reward_occurs,no_prediction_reward_occurs_0103,-0.6652719665271967,40.0,51.0,432.0,252.0,0.0392156862745098,1.8888888888888888,0.8823529411764706
no_prediction_reward_occurs,no_prediction_reward_occurs_0094,-0.6652719665271967,40.0,105.0,432.0,306.0,0.5686274509803921,2.111111111111111,0.8091503267973856
no_prediction_reward_occurs,no_prediction_reward_occurs_0084,-0.6401673640167365,43.0,76.0,435.0,277.0,0.28431372549019607,1.6666666666666665,0.8714596949891068
no_prediction_reward_occurs,no_prediction_reward_occurs_0075,-0.6317991631799162,44.0,125.0,436.0,326.0,0.7647058823529411,1.8888888888888888,0.8566448801742919
no_prediction_reward_occurs,no_prediction_reward_occurs_0193,-0.6150627615062761,46.0,106.0,438.0,307.0,0.5784313725490197,1.4444444444444444,0.759912854030501
no_prediction_reward_occurs,no_prediction_reward_occurs_0002,-0.606694560669456,47.0,95.0,439.0,296.0,0.47058823529411764,2.111111111111111,0.8627450980392157
no_prediction_reward_occurs,no_prediction_reward_occurs_0177,-0.5815899581589958,50.0,129.0,442.0,330.0,0.803921568627451,1.8888888888888888,0.7886710239651415
no_prediction_reward_occurs,no_prediction_reward_occurs_0030,-0.5648535564853556,52.0,55.0,444.0,256.0,0.0784313725490196,2.333333333333333,0.983442265795207
no_prediction_reward_occurs,no_prediction_reward_occurs_0013,-0.5648535564853556,52.0,81.0,444.0,282.0,0.3333333333333333,2.111111111111111,0.8714596949891067
no_prediction_reward_occurs,no_prediction_reward_occurs_0065,-0.5648535564853556,52.0,134.0,444.0,335.0,0.8529411764705882,3.0,0.8993464052287581
no_prediction_reward_occurs,no_prediction_reward_occurs_0060,-0.5481171548117154,54.0,106.0,446.0,307.0,0.5784313725490197,2.7777777777777777,0.9285403050108934
no_prediction_reward_occurs,no_prediction_reward_occurs_0202,-0.5481171548117154,54.0,111.0,446.0,312.0,0.6274509803921569,1.4444444444444444,0.873202614379085
no_prediction_reward_occurs,no_prediction_reward_occurs_0032,-0.5397489539748954,55.0,65.0,447.0,266.0,0.17647058823529413,2.5555555555555554,0.9128540305010895
